file	theorem	proof_deps	resolved_deps	missing_deps	oracles	has_skip_proof
GeoTopBase_geotop_arc_1simplex_preimage_structure.p	GeoTopBase.geotop_arc_1simplex_preimage_structure	128	128	0	0	false
GeoTopBase_clopen_connected_subspace_eq_component.p	GeoTopBase.clopen_connected_subspace_eq_component	53	53	0	0	false
GeoTop_Prefix_polygon_interior_exterior_disjoint.p	GeoTop_Prefix.polygon_interior_exterior_disjoint	58	58	0	0	false
GeoTop_Prefix_broken_line_endpoint_local_segment.p	GeoTop_Prefix.broken_line_endpoint_local_segment	390	390	0	0	false
GeoTopBase0_geotop_subdivision_simplex_in_parent.p	GeoTopBase0.geotop_subdivision_simplex_in_parent	28	28	0	0	false
GeoTopBase0_geotop_simplex_rel_interior_nonempty.p	GeoTopBase0.geotop_simplex_rel_interior_nonempty	32	32	0	0	false
GeoTopBase0_geotop_overlay_complex_refines_right.p	GeoTopBase0.geotop_overlay_complex_refines_right	26	26	0	0	false
GeoTopBase0_geotop_overlay_complex_pairwise_face.p	GeoTopBase0.geotop_overlay_complex_pairwise_face	67	67	0	0	false
GeoTopBase0_geotop_order_complex_is_cell_complex.p	GeoTopBase0.geotop_order_complex_is_cell_complex	105	105	0	0	false
GeoTopBase0_geotop_closed_star_subset_polyhedron.p	GeoTopBase0.geotop_closed_star_subset_polyhedron	21	21	0	0	false
GeoTopBase0_geotop_chain_simplex_vertices_in_top.p	GeoTopBase0.geotop_chain_simplex_vertices_in_top	180	180	0	0	false
GeoTopBase0_geotop_chain_simplex_open_star_inter.p	GeoTopBase0.geotop_chain_simplex_open_star_inter	34	34	0	0	false
GeoTopBase0_geotop_cell_flag_barycenter_distinct.p	GeoTopBase0.geotop_cell_flag_barycenter_distinct	62	62	0	0	false
GeoTopBase0_geotop_K_carrier_shared_rel_interior.p	GeoTopBase0.geotop_K_carrier_shared_rel_interior	13	13	0	0	false
GeoTopBase_homeomorphism_UNIV_image_interior_alt.p	GeoTopBase.homeomorphism_UNIV_image_interior_alt	15	15	0	0	false
GeoTopBase_homeomorphism_UNIV_image_frontier_alt.p	GeoTopBase.homeomorphism_UNIV_image_frontier_alt	15	15	0	0	false
GeoTopBase_geotop_simplex_dim_imp_hyperplane_dim.p	GeoTopBase.geotop_simplex_dim_imp_hyperplane_dim	163	163	0	0	false
GeoTopBase_geotop_V_subK_elt_in_simplex_vertices.p	GeoTopBase.geotop_V_subK_elt_in_simplex_vertices	56	56	0	0	false
GeoTopBase_geotop_1dim_vertex_in_simplex_is_face.p	GeoTopBase.geotop_1dim_vertex_in_simplex_is_face	43	43	0	0	false
GeoTop_punctured_circle_component_cover_if_split.p	GeoTop.punctured_circle_component_cover_if_split	29	29	0	0	false
GeoTop_closed_segment_radial_subsegment_preimage.p	GeoTop.closed_segment_radial_subsegment_preimage	281	281	0	0	false
GeoTop_closed_segment_radial_projection_preimage.p	GeoTop.closed_segment_radial_projection_preimage	3	3	0	0	false
GeoTop_Prefix_theta_graph_has_bounded_component.p	GeoTop_Prefix.theta_graph_has_bounded_component	132	132	0	0	false
GeoTop_Prefix_simple_path_compose_homeomorphism.p	GeoTop_Prefix.simple_path_compose_homeomorphism	63	63	0	0	false
GeoTop_Prefix_polygon_interior_is_HOL_component.p	GeoTop_Prefix.polygon_interior_is_HOL_component	48	48	0	0	false
GeoTop_Prefix_polygon_interior_disjoint_polygon.p	GeoTop_Prefix.polygon_interior_disjoint_polygon	51	51	0	0	false
GeoTop_Prefix_polygon_exterior_is_HOL_component.p	GeoTop_Prefix.polygon_exterior_is_HOL_component	48	48	0	0	false
GeoTop_Prefix_polygon_exterior_disjoint_polygon.p	GeoTop_Prefix.polygon_exterior_disjoint_polygon	51	51	0	0	false
GeoTop_Prefix_geotop_arc_endpoints_imp_top1_arc.p	GeoTop_Prefix.geotop_arc_endpoints_imp_top1_arc	69	69	0	0	false
GeoTopBase0_geotop_simplex_closure_rel_interior.p	GeoTopBase0.geotop_simplex_closure_rel_interior	32	32	0	0	false
GeoTopBase0_geotop_overlay_complex_refines_left.p	GeoTopBase0.geotop_overlay_complex_refines_left	26	26	0	0	false
GeoTopBase0_geotop_open_star_subset_closed_star.p	GeoTopBase0.geotop_open_star_subset_closed_star	40	40	0	0	false
GeoTopBase0_geotop_convex_in_complex_in_simplex.p	GeoTopBase0.geotop_convex_in_complex_in_simplex	22	22	0	0	false
GeoTopBase0_geotop_complex_flag_barycenter_card.p	GeoTopBase0.geotop_complex_flag_barycenter_card	27	27	0	0	false
GeoTopBase0_geotop_chain_simplex_carrier_in_set.p	GeoTopBase0.geotop_chain_simplex_carrier_in_set	378	378	0	0	false
GeoTopBase0_geotop_cell_complex_subset_imp_face.p	GeoTopBase0.geotop_cell_complex_subset_imp_face	34	34	0	0	false
GeoTopBase0_geotop_cell_complex_psubset_aff_dim.p	GeoTopBase0.geotop_cell_complex_psubset_aff_dim	48	48	0	0	false
GeoTopBase0_geotop_cell_complex_carrier_in_cell.p	GeoTopBase0.geotop_cell_complex_carrier_in_cell	44	44	0	0	false
GeoTopBase0_geotop_bary_in_rel_interior_support.p	GeoTopBase0.geotop_bary_in_rel_interior_support	169	169	0	0	false
GeoTopBase_homeomorphism_UNIV_image_closure_alt.p	GeoTopBase.homeomorphism_UNIV_image_closure_alt	15	15	0	0	false
GeoTopBase_geotop_subdivide_edge_singleton_ne_e.p	GeoTopBase.geotop_subdivide_edge_singleton_ne_e	37	37	0	0	false
GeoTopBase_geotop_subdivide_edge_locfin_inherit.p	GeoTopBase.geotop_subdivide_edge_locfin_inherit	80	80	0	0	false
GeoTopBase_geotop_straight_line_path_continuous.p	GeoTopBase.geotop_straight_line_path_continuous	88	88	0	0	false
GeoTopBase_geotop_isomorphic_induces_PLH_strong.p	GeoTopBase.geotop_isomorphic_induces_PLH_strong	117	117	0	0	false
GeoTopBase_geotop_complex_subdivide_edge_vertex.p	GeoTopBase.geotop_complex_subdivide_edge_vertex	49	49	0	0	false
GeoTopBase_geotop_closed_segment_is_broken_line.p	GeoTopBase.geotop_closed_segment_is_broken_line	144	144	0	0	false
GeoTopBase_component_eq_connected_component_set.p	GeoTopBase.component_eq_connected_component_set	58	58	0	0	false
GeoTop_geotop_hyperplane_dim_imp_affine_aff_dim.p	GeoTop.geotop_hyperplane_dim_imp_affine_aff_dim	56	56	0	0	false
GeoTop_closed_segment_sphere_unique_from_center.p	GeoTop.closed_segment_sphere_unique_from_center	253	253	0	0	false
GeoTop_Prefix_theta_two_middle_arcs_contradict.p	GeoTop_Prefix.theta_two_middle_arcs_contradict	102	102	0	0	false
GeoTop_Prefix_theta_arc_interior_isolated_ball.p	GeoTop_Prefix.theta_arc_interior_isolated_ball	105	105	0	0	false
GeoTop_Prefix_polyhedral_theta_graph_imp_theta.p	GeoTop_Prefix.polyhedral_theta_graph_imp_theta	9	9	0	0	false
GeoTop_Prefix_nondegenerate_segment_meets_ball.p	GeoTop_Prefix.nondegenerate_segment_meets_ball	302	302	0	0	false
GeoTop_Prefix_geotop_polygon_components_set_eq.p	GeoTop_Prefix.geotop_polygon_components_set_eq	49	49	0	0	false
GeoTop_Prefix_component_of_open_path_connected.p	GeoTop_Prefix.component_of_open_path_connected	18	18	0	0	false
GeoTopBase0_geotop_overlay_complex_elt_is_cell.p	GeoTopBase0.geotop_overlay_complex_elt_is_cell	20	20	0	0	false
GeoTopBase0_geotop_overlay_cells_refines_right.p	GeoTopBase0.geotop_overlay_cells_refines_right	28	28	0	0	false
GeoTopBase0_geotop_order_complex_pairwise_face.p	GeoTopBase0.geotop_order_complex_pairwise_face	72	72	0	0	false
GeoTopBase0_geotop_open_star_inter_simplex_iff.p	GeoTopBase0.geotop_open_star_inter_simplex_iff	17	17	0	0	false
GeoTopBase0_geotop_linear_inj_image_is_simplex.p	GeoTopBase0.geotop_linear_inj_image_is_simplex	105	105	0	0	false
GeoTopBase0_geotop_closed_star_contains_vertex.p	GeoTopBase0.geotop_closed_star_contains_vertex	48	48	0	0	false
